"","location","year","tech_jobs","all_jobs","percentage","growth"
"653",90065,2007,715,8695,12.1608391608392,-0.0340733303321773
"654",90065,2008,699,8352,11.9484978540773,-0.0174610735290126
"655",90065,2009,794,7731,9.7367758186398,-0.18510461000608
"656",90065,2010,629,9200,14.6263910969793,0.502180123011459
"657",90065,2011,864,9492,10.9861111111111,-0.248884359903382
"658",90065,2012,817,9394,11.4981640146879,0.0466091138527527
"659",90065,2013,747,9187,12.2985274431058,0.0696079328313184
"660",90065,2014,783,9268,11.8365261813538,-0.0375655755446539
"661",90065,2015,718,9629,13.4108635097493,0.133006703510326
"662",90065,2016,537,9488,17.6685288640596,0.317478837303436
"663",90065,2017,769,9492,12.3433029908973,-0.301396110232732
"664",90066,2005,3577,12303,3.43947441990495,NA
"665",90066,2006,4013,13129,3.27161724395714,-0.0488031470670008
"666",90066,2007,3664,12901,3.52101528384279,0.0762308122523525
"667",90066,2008,3953,13344,3.37566405261826,-0.0412810566007813
"668",90066,2009,3839,12507,3.25787965616046,-0.0348922151676938
"669",90066,2010,3518,12624,3.58840250142126,0.10145336235358
"670",90066,2011,3305,12833,3.88290468986384,0.0820705559997621
"671",90066,2012,3445,13080,3.79680696661829,-0.0221735350523307
"672",90066,2013,3520,13192,3.74772727272727,-0.0129265707534055
"673",90066,2014,3616,13480,3.72787610619469,-0.00529685462361207
"674",90066,2015,4512,14306,3.17065602836879,-0.149473872508786
"675",90066,2016,4480,14475,3.23102678571429,0.0190404625431886
"676",90066,2017,4933,15772,3.19724305696331,-0.0104560348742231
"677",90067,2005,10361,26753,2.58208667117074,NA
"678",90067,2006,10813,25167,2.32747618607232,-0.0986064828656481
"679",90067,2007,11185,26881,2.40330800178811,0.0325811349519141
"680",90067,2008,10825,25921,2.39454965357968,-0.00364428870619837
